                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                0.28737,                0.29945,                0.22297,                 0.8646,                 0.9991,                      1,                  0.995,                0.98994,                 0.9991,                      1,                  0.995,                0.99184,                0.13775,                0.14273,                0.11444,                0.80478,              0.0097822,              0.0097822,              0.0097822
                    113,                0.28993,                0.28839,                0.22183,                0.86543,                0.99921,                      1,                  0.995,                0.99326,                0.99921,                      1,                  0.995,                0.99432,                 0.1363,                0.14016,                0.12206,                0.80587,              0.0097802,              0.0097802,              0.0097802
                    114,                0.28956,                0.29913,                0.21967,                0.86133,                0.99926,                      1,                  0.995,                0.99156,                0.99926,                      1,                  0.995,                0.99447,                 0.1277,                0.13836,                0.10952,                0.80248,              0.0097782,              0.0097782,              0.0097782
                    115,                0.28696,                0.28694,                0.21619,                0.85815,                      1,                0.99968,                  0.995,                0.99118,                      1,                0.99968,                  0.995,                0.99342,                 0.1285,                 0.1523,                0.11631,                0.80261,              0.0097763,              0.0097763,              0.0097763
                    116,                 0.2885,                0.30789,                 0.2161,                0.85905,                0.99864,                      1,                  0.995,                0.99318,                0.99864,                      1,                  0.995,                0.99321,                 0.1239,                0.14271,                0.10897,                0.80042,              0.0097743,              0.0097743,              0.0097743
                    117,                0.28619,                0.30479,                0.22364,                0.86235,                0.99859,                      1,                  0.995,                0.99418,                0.99859,                      1,                  0.995,                  0.995,                0.13861,                0.14618,                0.12894,                0.80788,              0.0097723,              0.0097723,              0.0097723
                    118,                0.29231,                0.29469,                0.22625,                0.86281,                0.99897,                      1,                  0.995,                0.99157,                0.99897,                      1,                  0.995,                0.99165,                0.14401,                0.14706,                0.11989,                0.80603,              0.0097703,              0.0097703,              0.0097703
                    119,                0.28945,                0.29613,                0.22541,                0.85975,                 0.9993,                      1,                  0.995,                0.99055,                 0.9993,                      1,                  0.995,                0.99055,                0.13863,                 0.1425,                0.11892,                0.80658,              0.0097683,              0.0097683,              0.0097683
                    120,                0.29169,                0.28975,                0.22109,                0.86505,                0.99921,                      1,                  0.995,                0.99202,                0.99921,                      1,                  0.995,                0.99006,                0.13525,                0.15146,                0.11758,                0.80467,              0.0097664,              0.0097664,              0.0097664
                    121,                0.29512,                0.30116,                0.22289,                0.85941,                0.99921,                      1,                  0.995,                0.99161,                0.99921,                      1,                  0.995,                0.99327,                0.13695,                0.14955,                 0.1161,                0.80393,              0.0097644,              0.0097644,              0.0097644
                    122,                0.28706,                0.27959,                0.22272,                0.86131,                0.99921,                      1,                  0.995,                 0.9908,                0.99921,                      1,                  0.995,                0.99123,                0.13999,                0.16283,                0.12233,                 0.8055,              0.0097624,              0.0097624,              0.0097624
                    123,                0.28199,                0.27937,                0.21683,                0.86107,                 0.9992,                      1,                  0.995,                 0.9929,                 0.9992,                      1,                  0.995,                0.99309,                0.13592,                0.14755,                0.11117,                0.80229,              0.0097604,              0.0097604,              0.0097604
                    124,                0.29003,                0.29604,                0.22232,                0.85999,                 0.9992,                      1,                  0.995,                0.99251,                 0.9992,                      1,                  0.995,                 0.9936,                 0.1345,                0.14262,                0.11642,                0.80275,              0.0097584,              0.0097584,              0.0097584
                    125,                0.28449,                 0.2955,                0.22008,                0.85787,                0.99928,                      1,                  0.995,                0.99139,                0.99928,                      1,                  0.995,                0.99172,                 0.1394,                0.15524,                0.11316,                0.80733,              0.0097565,              0.0097565,              0.0097565
                    126,                0.29213,                0.29671,                0.22422,                 0.8659,                0.99999,                      1,                  0.995,                0.99145,                0.99999,                      1,                  0.995,                 0.9898,                 0.1447,                0.15636,                0.11585,                0.80521,              0.0097545,              0.0097545,              0.0097545
                    127,                0.28244,                0.29027,                0.21564,                0.85969,                0.99919,                      1,                  0.995,                0.99375,                0.99919,                      1,                  0.995,                0.99355,                0.13034,                0.14541,                0.11254,                0.80312,              0.0097525,              0.0097525,              0.0097525
                    128,                0.28842,                0.28414,                0.21796,                0.86469,                0.99914,                      1,                  0.995,                0.99178,                0.99914,                      1,                  0.995,                0.99438,                0.13084,                0.14348,                0.11197,                0.80308,              0.0097505,              0.0097505,              0.0097505
                    129,                0.29112,                 0.2714,                0.22386,                0.85893,                0.99917,                      1,                  0.995,                0.99172,                0.99917,                      1,                  0.995,                0.99437,                0.13479,                0.14475,                0.11213,                0.80309,              0.0097485,              0.0097485,              0.0097485
                    130,                 0.2865,                0.29125,                0.21673,                0.85973,                0.99913,                      1,                  0.995,                0.99357,                0.99913,                      1,                  0.995,                0.99451,                0.13893,                 0.1456,                0.10768,                0.80324,              0.0097466,              0.0097466,              0.0097466
                    131,                 0.2897,                0.26948,                0.21781,                0.85954,                0.99918,                      1,                  0.995,                0.99373,                0.99918,                      1,                  0.995,                0.99345,                0.12244,                0.14566,                0.11538,                0.80304,              0.0097446,              0.0097446,              0.0097446
                    132,                0.28576,                0.29005,                0.22061,                0.85769,                0.99916,                      1,                  0.995,                0.99342,                0.99916,                      1,                  0.995,                0.99398,                0.13363,                0.14774,                0.11774,                0.80247,              0.0097426,              0.0097426,              0.0097426
                    133,                0.27946,                0.28851,                0.21833,                0.86022,                0.99919,                      1,                  0.995,                  0.994,                0.99919,                      1,                  0.995,                0.99245,                0.13377,                0.13906,                0.10287,                0.80392,              0.0097406,              0.0097406,              0.0097406
                    134,                0.28221,                0.28624,                0.21638,                 0.8623,                0.99873,                      1,                  0.995,                0.99186,                0.99873,                      1,                  0.995,                0.99361,                0.13099,                0.14721,                0.10246,                0.80359,              0.0097386,              0.0097386,              0.0097386
                    135,                0.28163,                0.26981,                0.21194,                0.85734,                0.99912,                      1,                  0.995,                0.99379,                0.99912,                      1,                  0.995,                  0.995,                0.13909,                0.14549,                 0.1205,                0.80542,              0.0097367,              0.0097367,              0.0097367
                    136,                0.28153,                0.27138,                0.21816,                0.86238,                0.99922,                      1,                  0.995,                0.99194,                0.99922,                      1,                  0.995,                0.99456,                0.12752,                0.13593,                0.11263,                0.80263,              0.0097347,              0.0097347,              0.0097347
                    137,                0.28525,                0.28255,                0.21739,                 0.8589,                0.99907,                      1,                  0.995,                 0.9927,                0.99907,                      1,                  0.995,                0.99346,                0.12737,                0.13751,                 0.1129,                0.80099,              0.0097327,              0.0097327,              0.0097327
                    138,                0.27939,                0.27622,                0.21336,                0.85496,                0.99919,                      1,                  0.995,                0.99223,                0.99919,                      1,                  0.995,                0.99353,                0.12934,                0.14165,                0.10825,                0.80217,              0.0097307,              0.0097307,              0.0097307
                    139,                0.28014,                0.27185,                0.21061,                0.85552,                0.99914,                      1,                  0.995,                0.99333,                0.99914,                      1,                  0.995,                0.99319,                0.13356,                0.14152,                0.10608,                0.80305,              0.0097287,              0.0097287,              0.0097287
                    140,                0.28249,                 0.2638,                0.21238,                0.85425,                0.99902,                      1,                  0.995,                0.99333,                0.99902,                      1,                  0.995,                0.99162,                0.12495,                0.14073,                0.11073,                0.80205,              0.0097268,              0.0097268,              0.0097268
                    141,                0.27553,                0.26766,                0.20651,                0.85772,                0.99923,                      1,                  0.995,                0.99199,                0.99923,                      1,                  0.995,                0.99174,                0.12797,                0.14338,                0.11081,                0.80264,              0.0097248,              0.0097248,              0.0097248
                    142,                0.27316,                0.27747,                0.20646,                0.85535,                 0.9992,                      1,                  0.995,                0.99358,                 0.9992,                      1,                  0.995,                0.99439,                0.12263,                0.14348,                0.11019,                0.80102,              0.0097228,              0.0097228,              0.0097228
                    143,                0.27928,                0.27696,                0.20894,                0.85947,                0.99924,                      1,                  0.995,                0.98988,                0.99924,                      1,                  0.995,                  0.995,                0.14049,                0.13078,                0.10723,                0.80403,              0.0097208,              0.0097208,              0.0097208
                    144,                0.27401,                0.28097,                0.20572,                0.85675,                0.99924,                      1,                  0.995,                0.99199,                0.99924,                      1,                  0.995,                0.99376,                0.12412,                0.13605,                0.09953,                0.80178,              0.0097188,              0.0097188,              0.0097188
                    145,                0.27973,                0.29083,                0.21407,                0.86182,                0.99924,                      1,                  0.995,                 0.9937,                0.99924,                      1,                  0.995,                0.99441,                0.13036,                0.13931,                 0.1017,                0.80222,              0.0097169,              0.0097169,              0.0097169
                    146,                0.27681,                 0.2845,                0.20826,                0.85888,                0.99921,                      1,                  0.995,                0.99361,                0.99921,                      1,                  0.995,                0.99239,                0.12648,                0.14402,                 0.1019,                0.80235,              0.0097149,              0.0097149,              0.0097149
                    147,                0.28127,                0.29545,                0.21258,                0.86315,                 0.9992,                      1,                  0.995,                0.99363,                 0.9992,                      1,                  0.995,                0.99367,                0.12919,                0.13379,                0.10834,                0.80277,              0.0097129,              0.0097129,              0.0097129
                    148,                0.27697,                0.28139,                 0.2102,                0.85792,                0.99918,                      1,                  0.995,                0.99145,                0.99918,                      1,                  0.995,                0.99284,                0.13413,                0.13834,                0.10204,                 0.8024,              0.0097109,              0.0097109,              0.0097109
                    149,                0.28279,                 0.2924,                0.20943,                0.86191,                0.99927,                      1,                  0.995,                 0.9946,                0.99927,                      1,                  0.995,                0.99386,                0.12632,                0.13294,                0.10129,                 0.8017,              0.0097089,              0.0097089,              0.0097089
                    150,                0.27944,                0.29268,                0.21223,                0.85861,                0.99918,                      1,                  0.995,                  0.995,                0.99918,                      1,                  0.995,                0.99437,                0.12483,                0.13369,                0.10207,                 0.8019,               0.009707,               0.009707,               0.009707
                    151,                0.27626,                0.28536,                 0.2097,                0.85752,                0.99918,                      1,                  0.995,                0.99342,                0.99918,                      1,                  0.995,                0.99364,                0.12876,                0.13573,                0.10535,                0.80178,               0.009705,               0.009705,               0.009705
                    152,                  0.277,                  0.288,                0.20809,                0.86008,                0.99923,                      1,                  0.995,                0.99349,                0.99923,                      1,                  0.995,                0.99443,                0.12345,                 0.1345,                0.09448,                0.80139,               0.009703,               0.009703,               0.009703
                    153,                0.28538,                0.29855,                0.21468,                 0.8588,                0.99927,                      1,                  0.995,                0.99436,                0.99927,                      1,                  0.995,                0.99447,                0.12026,                0.13555,                 0.0974,                0.80044,               0.009701,               0.009701,               0.009701
                    154,                0.27585,                0.27808,                0.20469,                0.85642,                 0.9992,                      1,                  0.995,                0.99375,                 0.9992,                      1,                  0.995,                0.99145,                0.11844,                0.14215,                0.10175,                0.79969,               0.009699,               0.009699,               0.009699
                    155,                0.27087,                0.27972,                0.20581,                0.85489,                0.99922,                      1,                  0.995,                  0.995,                0.99922,                      1,                  0.995,                0.99368,                0.12392,                0.13228,                 0.1123,                 0.8019,              0.0096971,              0.0096971,              0.0096971
                    156,                0.27838,                0.28391,                0.21302,                0.86138,                0.99918,                      1,                  0.995,                 0.9937,                0.99918,                      1,                  0.995,                0.99436,                0.13267,                0.13705,                0.09974,                0.80306,              0.0096951,              0.0096951,              0.0096951
                    157,                0.27906,                0.29781,                0.20858,                0.86131,                0.99921,                      1,                  0.995,                0.99368,                0.99921,                      1,                  0.995,                0.99356,                0.12196,                0.13567,                0.09244,                 0.8011,              0.0096931,              0.0096931,              0.0096931
                    158,                0.27086,                0.26484,                0.20839,                 0.8565,                0.99922,                      1,                  0.995,                0.99331,                0.99922,                      1,                  0.995,                0.99437,                 0.1201,                0.13283,                0.09842,                  0.801,              0.0096911,              0.0096911,              0.0096911
                    159,                0.27055,                0.27603,                0.20724,                0.85822,                0.99919,                      1,                  0.995,                0.99226,                0.99919,                      1,                  0.995,                0.99358,                0.12758,                0.13695,                0.10541,                 0.8004,              0.0096891,              0.0096891,              0.0096891
                    160,                0.26786,                0.27502,                0.20022,                0.85117,                0.99919,                      1,                  0.995,                0.99144,                0.99919,                      1,                  0.995,                0.99229,                0.12207,                0.13755,                0.10053,                0.80089,              0.0096872,              0.0096872,              0.0096872
                    161,                0.26855,                  0.279,                0.20287,                 0.8529,                0.99921,                      1,                  0.995,                 0.9921,                0.99921,                      1,                  0.995,                0.99254,                0.13152,                0.13832,                0.10114,                0.80341,              0.0096852,              0.0096852,              0.0096852
                    162,                0.27453,                0.26615,                0.21049,                 0.8579,                0.99926,                      1,                  0.995,                0.99143,                0.99926,                      1,                  0.995,                 0.9927,                0.12183,                0.13827,                0.10465,                 0.8026,              0.0096832,              0.0096832,              0.0096832
                    163,                0.27249,                0.27583,                0.20847,                 0.8615,                0.99922,                      1,                  0.995,                0.99079,                0.99922,                      1,                  0.995,                0.99216,                0.12679,                0.13639,                0.09453,                0.80234,              0.0096812,              0.0096812,              0.0096812
                    164,                0.27288,                0.28322,                0.20887,                0.85879,                 0.9992,                      1,                  0.995,                0.99196,                 0.9992,                      1,                  0.995,                0.99204,                0.12408,                0.13202,                0.10385,                0.80226,              0.0096792,              0.0096792,              0.0096792
                    165,                  0.271,                0.26584,                0.20819,                0.85581,                0.99923,                      1,                  0.995,                0.99353,                0.99923,                      1,                  0.995,                0.99228,                0.12193,                0.14085,                  0.107,                0.80029,              0.0096773,              0.0096773,              0.0096773
                    166,                0.27297,                0.26793,                0.20828,                0.85853,                0.99926,                      1,                  0.995,                0.99198,                0.99926,                      1,                  0.995,                0.99371,                0.12968,                0.14064,                0.11484,                0.80124,              0.0096753,              0.0096753,              0.0096753
                    167,                0.27108,                0.27602,                0.21037,                0.85443,                0.99923,                      1,                  0.995,                 0.9912,                0.99923,                      1,                  0.995,                0.99372,                0.12914,                0.13662,                0.10471,                0.80109,              0.0096733,              0.0096733,              0.0096733
                    168,                 0.2838,                 0.2927,                0.21684,                0.85876,                0.99924,                      1,                  0.995,                0.99051,                0.99924,                      1,                  0.995,                0.99487,                0.12872,                0.13801,                0.10553,                0.80189,              0.0096713,              0.0096713,              0.0096713
                    169,                0.27536,                0.29009,                0.21087,                0.85768,                0.99922,                      1,                  0.995,                0.99347,                0.99922,                      1,                  0.995,                0.99368,                0.12633,                0.13778,                0.10625,                0.80184,              0.0096693,              0.0096693,              0.0096693
                    170,                0.27268,                0.26836,                0.20607,                0.85942,                0.99924,                      1,                  0.995,                0.99134,                0.99924,                      1,                  0.995,                0.99353,                0.12319,                0.13722,                0.10839,                0.79965,              0.0096674,              0.0096674,              0.0096674
                    171,                0.26778,                0.25852,                0.20119,                0.85766,                0.99004,                0.98592,                0.99486,                0.99127,                0.99004,                0.98592,                0.99486,                0.99328,                0.11483,                 0.1423,                0.09722,                0.80117,              0.0096654,              0.0096654,              0.0096654
                    172,                0.26864,                0.25723,                0.20328,                0.85405,                0.99923,                      1,                  0.995,                0.99249,                0.99923,                      1,                  0.995,                0.99446,                0.12371,                0.13612,                0.10281,                0.80223,              0.0096634,              0.0096634,              0.0096634
                    173,                0.26805,                0.25957,                0.20477,                0.85374,                0.99926,                      1,                  0.995,                0.99374,                0.99926,                      1,                  0.995,                0.99392,                0.11862,                0.13486,                0.09395,                0.80259,              0.0096614,              0.0096614,              0.0096614
                    174,                0.27262,                0.28481,                0.20717,                0.85725,                0.99927,                      1,                  0.995,                0.99283,                0.99927,                      1,                  0.995,                0.99463,                0.12316,                0.13668,                0.10232,                0.80283,              0.0096594,              0.0096594,              0.0096594
                    175,                0.27034,                0.26792,                0.20995,                0.85488,                0.99922,                      1,                  0.995,                0.99277,                0.99922,                      1,                  0.995,                0.99449,                0.12192,                0.13282,                0.09494,                0.80108,              0.0096575,              0.0096575,              0.0096575
                    176,                0.27248,                0.27576,                 0.2057,                 0.8502,                0.99924,                      1,                  0.995,                 0.9929,                0.99924,                      1,                  0.995,                0.99454,                0.12722,                0.13473,                0.10408,                0.80141,              0.0096555,              0.0096555,              0.0096555
                    177,                0.26852,                0.27899,                0.20064,                0.85738,                0.99923,                      1,                  0.995,                0.99376,                0.99923,                      1,                  0.995,                0.99385,                0.12903,                0.13461,                0.10135,                0.80226,              0.0096535,              0.0096535,              0.0096535
                    178,                0.27086,                0.27188,                0.20334,                0.85535,                0.99925,                      1,                  0.995,                0.99364,                0.99925,                      1,                  0.995,                0.99454,                0.12264,                 0.1339,                0.09981,                 0.8012,              0.0096515,              0.0096515,              0.0096515
                    179,                 0.2643,                0.27567,                0.19904,                0.85495,                0.99925,                      1,                  0.995,                0.99392,                0.99925,                      1,                  0.995,                0.99388,                0.12144,                0.13498,                0.09888,                 0.8012,              0.0096495,              0.0096495,              0.0096495
                    180,                0.26835,                 0.2703,                0.20859,                0.85513,                0.99923,                      1,                  0.995,                 0.9935,                0.99923,                      1,                  0.995,                 0.9945,                0.11527,                0.13581,                0.10025,                0.80049,              0.0096476,              0.0096476,              0.0096476
                    181,                0.27083,                0.26093,                0.20454,                 0.8572,                0.99924,                      1,                  0.995,                0.99372,                0.99924,                      1,                  0.995,                0.99456,                0.11907,                0.13926,                 0.0979,                0.80001,              0.0096456,              0.0096456,              0.0096456
                    182,                0.27597,                0.28015,                0.20789,                0.85585,                0.99923,                      1,                  0.995,                0.99281,                0.99923,                      1,                  0.995,                0.99386,                 0.1211,                0.13244,                0.09744,                0.80021,              0.0096436,              0.0096436,              0.0096436
                    183,                 0.2663,                0.26465,                0.20324,                  0.853,                0.99924,                      1,                  0.995,                0.99276,                0.99924,                      1,                  0.995,                0.99458,                0.11781,                0.12851,                0.09655,                0.79952,              0.0096416,              0.0096416,              0.0096416
                    184,                0.27226,                0.26782,                 0.2048,                0.85423,                0.99925,                      1,                  0.995,                0.99261,                0.99925,                      1,                  0.995,                0.99378,                0.12003,                0.13008,                0.09079,                 0.7996,              0.0096396,              0.0096396,              0.0096396
                    185,                 0.2731,                0.28202,                0.20724,                0.85871,                0.99923,                      1,                  0.995,                0.99178,                0.99923,                      1,                  0.995,                0.99375,                0.12132,                0.13429,                0.09374,                0.80041,              0.0096377,              0.0096377,              0.0096377
                    186,                0.26325,                0.26755,                0.19942,                0.85442,                0.99924,                      1,                  0.995,                 0.9927,                0.99924,                      1,                  0.995,                0.99383,                 0.1225,                 0.1354,                0.10376,                0.80258,              0.0096357,              0.0096357,              0.0096357
                    187,                0.26572,                0.26455,                0.20175,                0.85481,                0.99922,                      1,                  0.995,                0.99251,                0.99922,                      1,                  0.995,                0.99374,                0.12574,                0.13931,                0.10546,                0.80326,              0.0096337,              0.0096337,              0.0096337
                    188,                0.26818,                0.26128,                0.20687,                0.85833,                0.99922,                      1,                  0.995,                0.99268,                0.99922,                      1,                  0.995,                0.99374,                0.11957,                0.13815,                0.10285,                 0.8013,              0.0096317,              0.0096317,              0.0096317
                    189,                0.27632,                0.27716,                0.21008,                0.85912,                0.99919,                      1,                  0.995,                0.99289,                0.99919,                      1,                  0.995,                 0.9929,                0.11817,                0.13542,                 0.0954,                0.80076,              0.0096297,              0.0096297,              0.0096297
                    190,                0.26147,                0.26513,                0.19799,                0.85101,                0.99921,                      1,                  0.995,                0.99292,                0.99921,                      1,                  0.995,                0.99384,                0.11929,                0.13343,                0.09494,                0.79973,              0.0096278,              0.0096278,              0.0096278
                    191,                0.26603,                0.26537,                0.20086,                0.85313,                0.99921,                      1,                  0.995,                0.99363,                0.99921,                      1,                  0.995,                 0.9949,                0.11594,                0.13156,                0.09505,                0.79896,              0.0096258,              0.0096258,              0.0096258
                    192,                0.26995,                0.28288,                0.20414,                0.85995,                0.99923,                      1,                  0.995,                0.99363,                0.99923,                      1,                  0.995,                0.99449,                0.11703,                0.13301,                 0.0983,                0.79892,              0.0096238,              0.0096238,              0.0096238
                    193,                0.27372,                0.27567,                0.20395,                0.85597,                0.99923,                      1,                  0.995,                0.99378,                0.99923,                      1,                  0.995,                0.99454,                0.12107,                0.13324,                0.09631,                0.79845,              0.0096218,              0.0096218,              0.0096218
                    194,                0.26194,                0.25761,                0.19882,                0.85555,                0.99922,                      1,                  0.995,                0.99286,                0.99922,                      1,                  0.995,                0.99454,                 0.1246,                 0.1307,                0.09701,                0.80068,              0.0096198,              0.0096198,              0.0096198
                    195,                 0.2641,                0.27256,                0.20048,                 0.8552,                0.99915,                      1,                  0.995,                0.99458,                0.99915,                      1,                  0.995,                0.99352,                 0.1166,                0.14189,                0.09799,                  0.801,              0.0096179,              0.0096179,              0.0096179
                    196,                 0.2701,                0.27075,                0.20736,                0.85806,                0.99919,                      1,                  0.995,                0.99287,                0.99919,                      1,                  0.995,                0.99266,                0.12646,                0.14753,                0.10618,                0.80188,              0.0096159,              0.0096159,              0.0096159
                    197,                0.26738,                0.27257,                0.20412,                0.85432,                0.99924,                      1,                  0.995,                0.99186,                0.99924,                      1,                  0.995,                0.99349,                0.12412,                0.15117,                0.09043,                0.80009,              0.0096139,              0.0096139,              0.0096139
                    198,                0.26209,                0.27718,                0.19905,                0.85069,                0.99925,                      1,                  0.995,                0.99209,                0.99925,                      1,                  0.995,                0.99362,                0.12113,                0.13812,                0.09546,                0.80042,              0.0096119,              0.0096119,              0.0096119
                    199,                0.26875,                 0.2761,                0.19928,                0.85075,                0.99922,                      1,                  0.995,                0.99194,                0.99922,                      1,                  0.995,                0.99444,                0.11687,                0.13101,                0.08943,                0.79823,              0.0096099,              0.0096099,              0.0096099
                    200,                0.26324,                0.26168,                0.19841,                0.85443,                0.99923,                      1,                  0.995,                0.99275,                0.99923,                      1,                  0.995,                0.99451,                0.10946,                0.13219,                0.08916,                0.79761,               0.009608,               0.009608,               0.009608
