                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 0.3916,                 0.3592,                0.31803,                0.89552,                0.99916,                      1,                  0.995,                0.98003,                0.99916,                      1,                  0.995,                0.98938,                0.19446,                0.17197,                0.18125,                0.82708,              0.0099545,              0.0099545,              0.0099545
                     26,                0.39148,                0.40761,                0.32093,                0.89504,                 0.9987,                      1,                  0.995,                0.98759,                 0.9987,                      1,                  0.995,                0.99038,                0.19275,                0.17426,                0.19145,                0.82517,              0.0099525,              0.0099525,              0.0099525
                     27,                0.37927,                0.38236,                0.30401,                0.89095,                0.99895,                      1,                  0.995,                0.98339,                0.99895,                      1,                  0.995,                0.98034,                0.23335,                 0.2392,                0.20202,                0.83909,              0.0099505,              0.0099505,              0.0099505
                     28,                0.38183,                0.37273,                0.30092,                 0.8911,                0.99894,                      1,                  0.995,                0.98598,                0.99894,                      1,                  0.995,                0.98954,                0.19454,                0.16755,                0.17688,                0.82025,              0.0099485,              0.0099485,              0.0099485
                     29,                 0.3845,                0.38097,                0.31174,                0.89826,                0.99713,                      1,                  0.995,                0.97421,                0.99713,                      1,                  0.995,                0.98992,                0.22757,                0.17239,                0.18557,                0.83207,              0.0099465,              0.0099465,              0.0099465
                     30,                0.37755,                0.33894,                 0.2992,                 0.8891,                0.99724,                      1,                  0.995,                0.98551,                0.99724,                      1,                  0.995,                0.99097,                0.20387,                 0.1633,                0.15896,                0.81873,              0.0099446,              0.0099446,              0.0099446
                     31,                0.37779,                0.38603,                0.30149,                0.89299,                0.98511,                      1,                0.99486,                0.98462,                0.98511,                      1,                0.99486,                0.98861,                0.19228,                0.16789,                0.17743,                0.82097,              0.0099426,              0.0099426,              0.0099426
                     32,                0.37656,                0.38502,                0.30263,                0.89387,                0.99957,                      1,                  0.995,                0.98737,                0.99957,                      1,                  0.995,                0.98511,                0.19661,                0.21148,                0.16711,                0.82439,              0.0099406,              0.0099406,              0.0099406
                     33,                0.36967,                0.37635,                0.29469,                0.88731,                0.99906,                      1,                  0.995,                0.98849,                0.99906,                      1,                  0.995,                0.98474,                0.19264,                0.17753,                0.17855,                 0.8289,              0.0099386,              0.0099386,              0.0099386
                     34,                0.36813,                0.36016,                0.29057,                0.88674,                0.99953,                0.98592,                0.99422,                0.98529,                0.99953,                0.98592,                0.99422,                0.98808,                0.18939,                0.17448,                0.18224,                0.82215,              0.0099366,              0.0099366,              0.0099366
                     35,                0.35868,                0.35565,                 0.2816,                 0.8846,                 0.9854,                      1,                0.99472,                0.98385,                 0.9854,                      1,                0.99472,                0.98241,                0.19636,                0.19213,                0.16545,                0.82541,              0.0099347,              0.0099347,              0.0099347
                     36,                0.35801,                 0.3567,                 0.2839,                0.88392,                0.99891,                      1,                  0.995,                0.98565,                0.99891,                      1,                  0.995,                0.98908,                0.18036,                0.18044,                0.15797,                0.81649,              0.0099327,              0.0099327,              0.0099327
                     37,                0.36212,                0.36336,                0.28639,                0.88605,                0.99916,                      1,                  0.995,                0.98414,                0.99916,                      1,                  0.995,                0.98885,                0.18737,                0.19561,                0.15833,                0.81752,              0.0099307,              0.0099307,              0.0099307
                     38,                0.35118,                0.36972,                0.28355,                  0.884,                0.99912,                      1,                  0.995,                0.98884,                0.99912,                      1,                  0.995,                0.98758,                0.17329,                 0.1651,                0.18279,                0.81776,              0.0099287,              0.0099287,              0.0099287
                     39,                0.34693,                0.35078,                0.27728,                0.88044,                0.99914,                      1,                  0.995,                0.99126,                0.99914,                      1,                  0.995,                0.99286,                0.16643,                0.17871,                0.15172,                0.81785,              0.0099267,              0.0099267,              0.0099267
                     40,                0.35484,                 0.3529,                0.28139,                0.88335,                 0.9991,                      1,                  0.995,                0.99181,                 0.9991,                      1,                  0.995,                0.99161,                0.18189,                0.17208,                0.16316,                 0.8171,              0.0099248,              0.0099248,              0.0099248
                     41,                0.35172,                0.33865,                0.27728,                0.88232,                0.99914,                      1,                  0.995,                0.99429,                0.99914,                      1,                  0.995,                0.99165,                0.17651,                0.16703,                 0.1755,                0.81915,              0.0099228,              0.0099228,              0.0099228
                     42,                0.35411,                0.37699,                0.28273,                0.88515,                 0.9989,                      1,                  0.995,                0.99417,                 0.9989,                      1,                  0.995,                0.99294,                0.19869,                 0.1663,                 0.1805,                0.82699,              0.0099208,              0.0099208,              0.0099208
                     43,                 0.3529,                0.34691,                0.28285,                0.87998,                0.99921,                      1,                  0.995,                0.98932,                0.99921,                      1,                  0.995,                0.99419,                0.17221,                0.15092,                0.15806,                0.81981,              0.0099188,              0.0099188,              0.0099188
                     44,                0.34991,                0.33423,                0.27121,                 0.8797,                 0.9992,                      1,                  0.995,                0.98788,                 0.9992,                      1,                  0.995,                 0.9907,                0.18239,                0.17931,                0.17059,                 0.8174,              0.0099168,              0.0099168,              0.0099168
                     45,                0.35061,                0.37116,                0.27479,                0.88092,                 0.9857,                      1,                  0.995,                0.98691,                 0.9857,                      1,                  0.995,                0.99077,                0.17561,                0.15468,                0.20689,                0.81531,              0.0099149,              0.0099149,              0.0099149
                     46,                0.35061,                0.35489,                0.27358,                0.88361,                0.99906,                      1,                  0.995,                0.98678,                0.99906,                      1,                  0.995,                0.99011,                0.16416,                0.17433,                0.15841,                0.81322,              0.0099129,              0.0099129,              0.0099129
                     47,                0.34338,                0.35339,                0.27219,                0.87698,                 0.9992,                      1,                  0.995,                0.99056,                 0.9992,                      1,                  0.995,                0.98946,                0.17255,                0.16849,                0.14871,                0.81433,              0.0099109,              0.0099109,              0.0099109
                     48,                0.34128,                0.36516,                 0.2688,                0.87905,                0.99902,                      1,                  0.995,                0.99104,                0.99902,                      1,                  0.995,                0.99281,                0.16608,                0.16437,                 0.1368,                 0.8127,              0.0099089,              0.0099089,              0.0099089
                     49,                0.34178,                0.35088,                0.26339,                0.87409,                0.99917,                      1,                  0.995,                0.98904,                0.99917,                      1,                  0.995,                0.99068,                0.16979,                0.17482,                0.13055,                0.81655,              0.0099069,              0.0099069,              0.0099069
                     50,                 0.3348,                0.34113,                0.26084,                0.87687,                0.99918,                      1,                  0.995,                0.98643,                0.99918,                      1,                  0.995,                0.99314,                0.15565,                0.15244,                0.13568,                0.81332,               0.009905,               0.009905,               0.009905
                     51,                0.34276,                0.33804,                0.26392,                0.87551,                0.99921,                      1,                  0.995,                0.98989,                0.99921,                      1,                  0.995,                0.99092,                0.16431,                0.16248,                0.13831,                0.81152,               0.009903,               0.009903,               0.009903
                     52,                 0.3436,                0.35657,                0.26418,                0.87657,                0.99913,                      1,                  0.995,                0.99108,                0.99913,                      1,                  0.995,                0.99074,                0.15503,                0.15829,                0.13571,                0.80866,               0.009901,               0.009901,               0.009901
                     53,                 0.3277,                0.30298,                0.25602,                0.86733,                 0.9991,                      1,                  0.995,                0.99092,                 0.9991,                      1,                  0.995,                0.99424,                0.16906,                0.15029,                0.14945,                0.81625,               0.009899,               0.009899,               0.009899
                     54,                0.33108,                0.32413,                0.25638,                0.87213,                0.99882,                      1,                  0.995,                 0.9903,                0.99882,                      1,                  0.995,                0.98809,                0.15719,                0.17689,                0.14516,                0.81106,               0.009897,               0.009897,               0.009897
                     55,                0.33099,                0.34074,                0.25824,                0.87938,                0.98432,                0.97183,                0.99215,                 0.9871,                0.98432,                0.97183,                0.99215,                0.98561,                0.17424,                0.18421,                 0.1719,                0.81572,              0.0098951,              0.0098951,              0.0098951
                     56,                0.33264,                 0.3369,                0.25862,                0.87128,                0.97736,                0.98592,                0.98554,                0.97666,                0.97736,                0.98592,                 0.9871,                0.97703,                0.18254,                 0.2091,                0.24203,                0.82281,              0.0098931,              0.0098931,              0.0098931
                     57,                0.33503,                 0.3428,                0.26258,                0.87797,                0.99897,                      1,                  0.995,                0.98754,                0.99897,                      1,                  0.995,                0.99016,                0.16266,                0.16343,                0.15481,                 0.8106,              0.0098911,              0.0098911,              0.0098911
                     58,                0.32886,                0.33396,                  0.257,                0.88148,                0.99904,                      1,                  0.995,                0.98751,                0.99904,                      1,                  0.995,                0.99252,                0.16552,                0.15157,                0.13847,                0.81261,              0.0098891,              0.0098891,              0.0098891
                     59,                0.32596,                0.32738,                0.25172,                0.87299,                0.97142,                0.95732,                0.98078,                0.96239,                0.97142,                0.95732,                0.98078,                0.96018,                0.19868,                0.32349,                0.19532,                0.84159,              0.0098871,              0.0098871,              0.0098871
                     60,                0.32791,                0.31589,                0.25391,                 0.8709,                0.99916,                      1,                  0.995,                0.99216,                0.99916,                      1,                  0.995,                0.99358,                0.16454,                0.14724,                0.13543,                0.81186,              0.0098852,              0.0098852,              0.0098852
                     61,                0.32613,                0.32444,                0.25068,                0.87149,                0.99883,                      1,                  0.995,                0.98672,                0.99883,                      1,                  0.995,                  0.995,                0.16967,                 0.1632,                0.14147,                0.81294,              0.0098832,              0.0098832,              0.0098832
                     62,                0.32501,                0.33301,                0.24906,                0.87433,                0.99922,                      1,                  0.995,                0.99312,                0.99922,                      1,                  0.995,                0.99326,                0.14104,                0.14447,                0.11861,                0.80777,              0.0098812,              0.0098812,              0.0098812
                     63,                0.32535,                  0.327,                0.24732,                0.87273,                0.99834,                      1,                  0.995,                0.99288,                0.99834,                      1,                  0.995,                0.99437,                0.15653,                0.14991,                0.14648,                 0.8119,              0.0098792,              0.0098792,              0.0098792
                     64,                0.31759,                0.31057,                0.24581,                 0.8755,                0.99918,                      1,                  0.995,                0.98746,                0.99918,                      1,                  0.995,                0.98684,                0.15715,                0.17558,                0.15354,                0.81428,              0.0098772,              0.0098772,              0.0098772
                     65,                0.32518,                0.33218,                0.25486,                0.86907,                0.99905,                      1,                  0.995,                0.98753,                0.99905,                      1,                  0.995,                0.99054,                0.18746,                0.14712,                0.16283,                  0.826,              0.0098753,              0.0098753,              0.0098753
                     66,                0.31754,                0.32944,                0.25097,                0.87104,                0.99914,                      1,                  0.995,                 0.9928,                0.99914,                      1,                  0.995,                0.99179,                0.16688,                0.16168,                0.14468,                0.81336,              0.0098733,              0.0098733,              0.0098733
                     67,                0.31474,                0.30399,                0.24582,                 0.8685,                0.99902,                      1,                  0.995,                0.98901,                0.99902,                      1,                  0.995,                 0.9936,                0.16564,                0.15174,                 0.1352,                0.81299,              0.0098713,              0.0098713,              0.0098713
                     68,                0.32425,                0.32746,                 0.2514,                0.87337,                0.99915,                      1,                  0.995,                0.99223,                0.99915,                      1,                  0.995,                0.98896,                0.16126,                0.17142,                0.13493,                0.81265,              0.0098693,              0.0098693,              0.0098693
                     69,                0.31818,                0.31804,                0.24081,                 0.8714,                0.99843,                      1,                  0.995,                0.99147,                0.99843,                      1,                  0.995,                0.98911,                0.16166,                0.15239,                 0.1396,                0.81157,              0.0098673,              0.0098673,              0.0098673
                     70,                0.31439,                0.30506,                0.24561,                0.87044,                0.99918,                      1,                  0.995,                0.99272,                0.99918,                      1,                  0.995,                0.99385,                0.15822,                0.15229,                0.14555,                0.81245,              0.0098654,              0.0098654,              0.0098654
                     71,                0.31476,                0.31561,                0.24223,                0.86913,                0.99917,                      1,                  0.995,                0.99359,                0.99917,                      1,                  0.995,                0.99446,                0.14856,                0.14192,                0.12426,                0.80801,              0.0098634,              0.0098634,              0.0098634
                     72,                0.31566,                0.30874,                0.24158,                0.86968,                0.99888,                      1,                  0.995,                0.99242,                0.99888,                      1,                  0.995,                0.99347,                0.14909,                0.14292,                0.13092,                0.80819,              0.0098614,              0.0098614,              0.0098614
